post_id,post_date,is_published,email_sent_at,inbox_sent_at,type,audience,title,subtitle,podcast_url
148791011.one-framework-to-rule-them-all,2024-09-12T05:31:21.502Z,true,2024-09-12T05:31:21.594Z,2024-09-12T05:31:21.594Z,newsletter,everyone,One framework to rule them all,"The 4S prompting framework transforms rough ideas into polished, effective prose",
146532080.the-content-honey-trap,2024-07-12T15:28:51.651Z,true,2024-07-12T15:28:51.817Z,2024-07-12T15:28:51.817Z,podcast,everyone,The Content Honey Trap,Turning your podcast into a lead generation machine,
146320182.simple-marketing-for-smart-people,,false,,,newsletter,everyone,,,
145310352.openais-api-boost,,false,,,newsletter,everyone,,,
145039936.claude-3-tried-to-kill-my-chicken,2024-07-05T19:16:17.612Z,true,,,podcast,everyone,Claude 3 Tried to Kill My Chicken,The pitfalls of taking veterinary advice from a large language model.,
145039062.70a,,false,,,podcast,everyone,,,
144472740.can-ai-write-your-book-in-minutes,2024-05-09T15:10:05.112Z,true,2024-05-09T15:10:05.175Z,2024-05-09T15:10:05.175Z,newsletter,everyone,Can AI Write Your Book in Minutes?,Designrr Review: A Cautionary Tale of AI-Generated Dreck,
144380219.the-diy-guide-to-building-a-low-friction,2024-05-06T21:41:13.688Z,true,,,newsletter,everyone,The DIY Guide to Building a Low-Friction Knowledge Base for Your Business,Streamlining Standard Operating Procedures with Slack and Notion.,
143861054.013-towards-an-anthropology-of-content,2024-06-03T14:52:10.778Z,true,2024-06-03T14:52:11.140Z,2024-06-03T14:52:11.140Z,podcast,everyone,#013 - Towards an Anthropology of Content™,The quest for authenticity in the age of self-caricaturing extremes,
143534104.012-escaping-the-automation-trap,2024-06-01T16:50:19.170Z,true,,,podcast,everyone,#012 - Escaping the automation trap,Mastering Slow Productivity in the Age of AI,
143520765.podcasters-stop-wasting-your-time,2024-04-12T13:52:08.158Z,true,,,newsletter,everyone,Podcasters: Stop Wasting Your Time With the Wrong Tools for the Job,The N.O.R.D.I.C. Podcast Stack,
143289141.the-rise-of-conversational-content,2024-04-05T14:18:42.569Z,true,2024-04-05T14:18:42.710Z,2024-04-05T14:18:42.710Z,podcast,everyone,The Rise of Conversational Content,How Vibehut is Unlocking the Hidden Value of Our Digital Dialogues,
142767961.in-the-style-of-didion,2024-03-21T18:51:28.332Z,true,2024-03-21T18:51:28.401Z,2024-03-21T18:51:28.401Z,newsletter,everyone,In the style of Didion,5 words that can make AI write like a human,
142626229.forget-unicorns-embrace-the-mule,2024-03-12T22:34:00.000Z,true,2024-03-14T22:34:59.329Z,2024-03-14T22:34:59.329Z,podcast,everyone,"#007 - Forget Unicorns, Embrace the Mule", The Power of a Boostrapped AI Media Startup,
142589595.006-transcription-revolution,2024-03-12T10:07:00.000Z,true,2024-03-14T20:07:16.093Z,2024-03-14T20:07:16.093Z,podcast,everyone,#006 - Transcription Revolution 📄,An AI Tool for Titans,
142588996.005-a-tale-of-two-seo-strategies,2024-03-11T17:52:00.000Z,true,2024-03-13T17:52:27.179Z,2024-03-13T17:52:27.179Z,podcast,everyone,#005 - A Tale of Two SEO Strategies,The AI SEO Heist That Wasn't,
142586994.000-man-vs-machine,2024-03-06T05:18:00.000Z,true,2024-03-13T17:18:05.052Z,2024-03-13T17:18:05.052Z,podcast,everyone,#000 - Man vs. Machine,Probing the proper place for AI in the content creation process,
142525187.004-transform-dont-generate,2024-03-11T13:16:00.000Z,true,2024-03-11T21:16:31.971Z,2024-03-11T21:16:31.971Z,podcast,everyone,"#004 - Transform, Don't Generate 💎","The secret to writing with an AI assistance: use it as an assistant to enhance your own ideas, not a substitute for thinking.",
142434544.001-navigating-the-fast-paced-ai,2024-03-06T21:53:00.000Z,true,,,podcast,everyone,#001 - Unpacking the GPT Store,The future of AI in 2024 will likely focus on refining solutions that solve real problems and create tangible value,
142432003.seth-godin-alex-hormozi-richard-branson,2024-03-08T20:37:39.687Z,true,2024-03-08T20:37:39.798Z,2024-03-08T20:37:39.798Z,podcast,everyone,"#002 - Seth Godin, Alex Hormozi, Richard Branson, and Kevin Kelly walk into a (chat) bar...",What happens when you convene a mentor panel within ChatGPT of your favorite advisors?,
142413361.008-its-rag-time,2024-03-13T18:34:52.875Z,true,2024-03-13T18:34:53.049Z,2024-03-13T18:34:53.049Z,podcast,everyone,#008 - It's RAG Time!, Unlocking the power of Retrieval Augmented Generation in your workflows,
142365265.009,,false,,,newsletter,everyone,,,
142364281.claude-3-is-here-heres-what-you-should,2024-03-14T22:37:00.000Z,true,2024-03-06T19:11:42.837Z,2024-03-06T19:11:42.837Z,podcast,everyone,#009 - Claude 3: The AI for Humans,The new multi-modal LLM from Anthropic delivers new powers to content creators who are willing to invest the time in getting to know him (it?),
142310770.001-how-to-automate-your-ai-media,2024-03-10T07:02:00.000Z,true,2024-03-06T07:02:55.474Z,2024-03-06T07:02:55.474Z,podcast,everyone,#003 - How to Automate Your AI Media Mini-Empire,"Plus, the rise of E/Acc, the Indie Era of Startups, and how to copy James Clear's newsletter format",
142191454.have-we-hit-peak-content,2024-03-06T06:59:15.856Z,true,2024-03-06T06:59:15.956Z,2024-03-06T06:59:15.956Z,newsletter,everyone,Have We Hit 'Peak Content'?,Rumors of the demise of the creator economy are greatly exaggerated,
142191445.coming-soon,2024-03-01T00:48:32.999Z,true,2024-03-01T00:48:32.999Z,2024-03-01T00:48:32.999Z,newsletter,everyone,Coming soon,,
142191444.how-to-use-the-substack-editor,,false,,,newsletter,everyone,,,
